127.0.0.1 - - [07/Feb/2024:13:30:35 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /board/list HTTP/1.1" 200 29383
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:15 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:16 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:18 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=140 HTTP/1.1" 200 22262
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:20 +0900] "GET /board/modify?bno=140&pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 23612
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:21 +0900] "GET /board/list?pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 29375
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:31:22 +0900] "GET /board/modify?bno=140&pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 23612
